Localpath,Filename,Name,CatRA,CatDEC,DateOBS,Telescope,Instrument,Reference,Reference_Format,Formatted
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_G192-8_20210224.fits,mnires_G192-8_20210224.fits,J055515.83+510514.0,88.8159856,51.0872307,20210224,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_G192-8B_20210224.fits,mnires_G192-8B_20210224.fits,J055515.83+510514.0B,88.8159856,51.0872307,20210224,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_GJ576B_20220611.fits,mnires_GJ576B_20220611.fits,J150453.10+053811.9,226.223026,5.6381,20220611,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0010+1715A_20191219.fits,mnires_J0010+1715A_20191219.fits,J001031.38+171601.3A,2.6307716,17.2670468,20191219,Gemini North,GNIRS,Fede,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0010+1715B_20191219.fits,mnires_J0010+1715B_20191219.fits,J001031.38+171601.3B,2.6307716,17.2670468,20191219,Gemini North,GNIRS,Fede,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0048+2508A_20191219.fits,mnires_J0048+2508A_20191219.fits,J004851.34+250813.3A,12.2139388,25.1370418,20191219,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0048+2508B_20191219.fits,mnires_J0048+2508B_20191219.fits,J004851.34+250813.3B,12.2139388,25.1370418,20191219,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0055+5947_20191028.fits,mnires_J0055+5947_20191028.fits,J005559.92+594744.3,13.9996794,59.795662,20191028,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0111-1035_20210102.fits,mnires_J0111-1035_20210102.fits,J011128.00-103535.7,17.8666788,-10.593255,20210102,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0140+0150_20210102.fits,mnires_J0140+0150_20210102.fits,J014017.11+015054.3,25.0713108,1.8484382,20210102,Gemini North,GNIRS,Austin Rothermich,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0146-0508A_20201022.fits,mnires_J0146-0508A_20201022.fits,J014611.20-050850.0,26.5467046,-5.1472375,20201022,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2022ApJ...926L..12S/abstract,Soft22,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0146-0508B_20201022.fits,mnires_J0146-0508B_20201022.fits,J014611.20-050850.0,26.5467046,-5.1472375,20201022,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2022ApJ...926L..12S/abstract,Soft22,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0147+5058_180901.fits,mnires_J0147+5058_180901.fits,J014721.43+505855.6,26.8393061,50.9821272,20180901,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0227+0830_20181027.fits,mnires_J0227+0830_20181027.fits,J022737.75+083008.8,36.9072967,8.5024629,20181027,Gemini North,GNIRS,Austin Rothermich,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0335-4439_20191219.fits,mnires_J0335-4439_20191219.fits,J033554.79-443916.2,53.978299,-44.6545016,20191219,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0341-1925_20210102.fits,mnires_J0341-1925_20210102.fits,J034132.69-192547.4,55.3862272,-19.4298566,20210102,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0341+4715_20210102.fits,mnires_J0341+4715_20210102.fits,J034146.12+471530.5,55.4421807,47.2584749,20210102,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0355+4525_20191028.fits,mnires_J0355+4525_20191028.fits,J035556.89+452545.9,58.9870811,45.4294276,20191028,Gemini North,GNIRS,ZZ20,Zhan20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0355+4743_20210102.fits,mnires_J0355+4743_20210102.fits,J035532.23+474358.1,58.8843075,47.7328096,20210102,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0412-0734_180901.fits,mnires_J0412-0734_180901.fits,J041246.85-073416.8,63.1952444,-7.5713358,20180901,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0433+1009_20191219.fits,mnires_J0433+1009_20191219.fits,J043309.36+100902.3,68.2890007,10.1506658,20191219,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0443-0838_20190214.fits,mnires_J0443-0838_20190214.fits,J044322.24-083802.0,70.8426771,-8.6338981,20190214,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0506+0738_20220119.fits,mnires_J0506+0738_20220119.fits,J050626.96+073842.4,76.6123597,7.6451339,20220119,Gemini North,GNIRS,Adam S.,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0559-3842_20210224.fits,mnires_J0559-3842_20210224.fits,J055909.00-384219.8,89.7875020,-38.7055027,20210224,Gemini North,GNIRS,Austin,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0615+1526_20191028.fits,mnires_J0615+1526_20191028.fits,J061557.22+152623.6,93.9884421,15.4399027,20191028,Gemini North,GNIRS,EM18,Mart18,Good
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0617+1945AB_20210102.fits,mnires_J0617+1945AB_20210102.fits,J061741.79+194512.8,94.4241519,19.7535668,20210102,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0617+1945B_20210102.fits,mnires_J0617+1945B_20210102.fits,J061741.79+194512.8,94.4241519,19.7535668,20190214,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0623+0715_20220119.fits,mnires_J0623+0715_20220119.fits,J062316.19+071505.6,95.8174878,7.2515763,20220119,Gemini North,GNIRS,Adam B.,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0626+5941_20190214.fits,mnires_J0626+5941_20190214.fits,J062648.96+594129.2,96.7040383,59.6914571,20190214,Gemini North,GNIRS,Austin Rothermich,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0627+0143_20220123.fits,mnires_J0627+0143_20220123.fits,J062750.26+014326.9,96.9594284,1.724158,20220123,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0640-2352_20181027.fits,mnires_J0640-2352_20181027.fits,J064025.40-235221.5,100.1058561,-23.8726577,20181027,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0645-0302_20210102.fits,mnires_J0645-0302_20210102.fits,J064528.39-030249.9,101.3683028,-3.0472063,20210102,Gemini North,GNIRS,CT18,Tinn18,Good
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0724+4307_20190214.fits,mnires_J0724+4307_20190214.fits,J072418.16+430717.3,111.0756987,43.1214909,20190214,Gemini North,GNIRS,Davy,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0743+3146_20210224.fits,mnires_J0743+3146_20210224.fits,J074346.98+314603.4,115.9457826,31.7676309,20210224,Gemini North,GNIRS,Davy,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0758+5711_20210224.fits,mnires_J0758+5711_20210224.fits,J075831.11+571153.9,119.629654,57.1983282,20210224,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2021ApJS..253....7K/abstract,Kirk21,Good
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0825-0210A_20191028.fits,mnires_J0825-0210A_20191028.fits,J082545.12-021027.0A,126.4380002,-2.1741688,20191028,Gemini North,GNIRS,Sarah,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0825-0210B_20191028.fits,mnires_J0825-0210B_20191028.fits,J082545.12-021027.0B,126.4380002,-2.1741688,20190128,Gemini North,GNIRS,Sarah,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0931+2325_20220123.fits,mnires_J0931+2325_20220123.fits,J093111.01+232501.2,142.7958947,23.4170218,20220123,Gemini North,GNIRS,Sarah,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1023+2215_20220123.fits,mnires_J1023+2215_20220123.fits,J102332.99+221527.6,155.8874916,22.2576709,20220123,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1023+2215-background_20220123.fits,mnires_J1023+2215-background_20220123.fits,J102332.99+221527.6_background,155.8874916,22.2576709,20220123,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1055+5443_20210224.fits,mnires_J1055+5443_20210224.fits,J105512.11+544328.3,163.8004937,54.7245505,20210224,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1110-1747_20220119.fits,mnires_J1110-1747_20220119.fits,J111055.13-174738.8,167.7297095,-17.794114,20220119,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1130+3139_20220120.fits,mnires_J1130+3139_20220120.fits,J113010.07+313944.7,172.5419581,31.6624237,20220120,Gemini North,GNIRS,BYW_inprep,BYW_inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1204-2359_20220119.fits,mnires_J1204-2359_20220119.fits,J120444.32-235927.3,181.1846921,-23.9909391,20220119,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1304+2819_20220711.fits,mnires_J1304+2819_20220711.fits,J130440.45+281927.7,196.1685619,28.3243642,20220711,Gemini North,GNIRS,Adam B.,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1308-0321_20220120.fits,mnires_J1308-0321_20220120.fits,J130841.31-032157.7,197.1721629,-3.3660367,20220120,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1334-2730_20220119.fits,mnires_J1334-2730_20220119.fits,J133427.70-273053.1,203.6154266,-27.5147656,20220119,Gemini North,GNIRS,Burgasser group?,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1401+4325_20220123.fits,mnires_J1401+4325_20220123.fits,J140118.30+432553.5,210.3262697,43.43153,20220123,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1416+2322_20200720.fits,mnires_J1416+2322_20200720.fits,J141608.89+232241.7,214.0370493,23.3782509,20200720,Gemini North,GNIRS,Fede,,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1458+1734_20220711.fits,mnires_J1458+1734_20220711.fits,J145837.85+173450.1,224.6577276,17.580603,20220711,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1524-2620_20220611.fits,mnires_J1524-2620_20220611.fits,J152443.14-262001.8,231.1797728,-26.3338530,20220611,Gemini North,GNIRS,Adam B.,,
