Localpath,Filename,Name,CatRA,CatDEC,DateOBS,Telescope,Instrument,Reference,Reference_Format,Formatted
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0048+2508A_20191219.fits,mnires_J0048+2508A_20191219.fits,J004851.34+250813.3A,12.2139388,25.1370418,20191219,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0048+2508B_20191219.fits,mnires_J0048+2508B_20191219.fits,J004851.34+250813.3B,12.2139388,25.1370418,20191219,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0055+5947_20191028.fits,mnires_J0055+5947_20191028.fits,J005559.92+594744.3,13.9996794,59.795662,20191028,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0146-0508A_20201022.fits,mnires_J0146-0508A_20201022.fits,J014611.20-050850.0A,26.5467046,-5.1472375,20201022,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2022ApJ...926L..12S/abstract,Soft22,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0146-0508B_20201022.fits,mnires_J0146-0508B_20201022.fits,J014611.20-050850.0B,26.5467046,-5.1472375,20201022,Gemini North,GNIRS,https://ui.adsabs.harvard.edu/abs/2022ApJ...926L..12S/abstract,Soft22,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0355+4525_20191028.fits,mnires_J0355+4525_20191028.fits,J035556.89+452545.9,58.9870811,45.4294276,20191028,Gemini North,GNIRS,ZZ20,Zhan20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0355+4743_20210102.fits,mnires_J0355+4743_20210102.fits,J035532.23+474358.1,58.8843075,47.7328096,20210102,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0412-0734_180901.fits,mnires_J0412-0734_180901.fits,J041246.85-073416.8,63.1952444,-7.5713358,20180901,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0433+1009_20191219.fits,mnires_J0433+1009_20191219.fits,J043309.36+100902.3,68.2890007,10.1506658,20191219,Gemini North,GNIRS,AM20a,Meis20,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0615+1526_20191028.fits,mnires_J0615+1526_20191028.fits,J061557.22+152623.6,93.9884421,15.4399027,20191028,Gemini North,GNIRS,EM18,Mart18,Good
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0617+1945AB_20210102.fits,mnires_J0617+1945AB_20210102.fits,J061741.79+194512.8A,94.4241519,19.7535668,20210102,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0617+1945B_20210102.fits,mnires_J0617+1945B_20210102.fits,J061741.79+194512.8B,94.4241519,19.7535668,20190214,Gemini North,GNIRS,JDK20,Kirk21,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0645-0302_20210102.fits,mnires_J0645-0302_20210102.fits,J064528.39-030249.9,101.3683028,-3.0472063,20210102,Gemini North,GNIRS,CT18,Tinn18,Good
