Localpath,Filename,Name,CatRA,CatDEC,DateOBS,Telescope,Instrument,Reference,Reference_Format,Formatted
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_G192-8_20210224.fits,mnires_G192-8_20210224.fits,J055515.83+510514.0A,88.8159856,51.0872307,20210224,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_G192-8B_20210224.fits,mnires_G192-8B_20210224.fits,J055515.83+510514.0B,88.8159856,51.0872307,20210224,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_GJ576B_20220611.fits,mnires_GJ576B_20220611.fits,J150453.10+053811.9,226.223026,5.6381,20220611,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0010+1715A_20191219.fits,mnires_J0010+1715A_20191219.fits,J001031.38+171601.3A,2.6307716,17.2670468,20191219,Gemini North,GNIRS,Fede,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0010+1715B_20191219.fits,mnires_J0010+1715B_20191219.fits,J001031.38+171601.3B,2.6307716,17.2670468,20191219,Gemini North,GNIRS,Fede,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0111-1035_20210102.fits,mnires_J0111-1035_20210102.fits,J011128.00-103535.7,17.8666788,-10.593255,20210102,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0140+0150_20210102.fits,mnires_J0140+0150_20210102.fits,J014017.11+015054.3,25.0713108,1.8484382,20210102,Gemini North,GNIRS,Austin Rothermich,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0147+5058_180901.fits,mnires_J0147+5058_180901.fits,J014721.43+505855.6,26.8393061,50.9821272,20180901,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0227+0830_20181027.fits,mnires_J0227+0830_20181027.fits,J022737.75+083008.8,36.9072967,8.5024629,20181027,Gemini North,GNIRS,Austin Rothermich,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0335-4439_20191219.fits,mnires_J0335-4439_20191219.fits,J033554.79-443916.2,53.978299,-44.6545016,20191219,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0341-1925_20210102.fits,mnires_J0341-1925_20210102.fits,J034132.69-192547.4,55.3862272,-19.4298566,20210102,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0341+4715_20210102.fits,mnires_J0341+4715_20210102.fits,J034146.12+471530.5B,55.4421807,47.2584749,20210102,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0443-0838_20190214.fits,mnires_J0443-0838_20190214.fits,J044322.24-083802.0,70.8426771,-8.6338981,20190214,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0506+0738_20220119.fits,mnires_J0506+0738_20220119.fits,J050626.96+073842.4,76.6123597,7.6451339,20220119,Gemini North,GNIRS,Adam S.,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0559-3842_20210224.fits,mnires_J0559-3842_20210224.fits,J055909.00-384219.8,89.7875020,-38.7055027,20210224,Gemini North,GNIRS,Austin,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0623+0715_20220119.fits,mnires_J0623+0715_20220119.fits,J062316.19+071505.6,95.8174878,7.2515763,20220119,Gemini North,GNIRS,Adam B.,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0626+5941_20190214.fits,mnires_J0626+5941_20190214.fits,J062648.96+594129.2,96.7040383,59.6914571,20190214,Gemini North,GNIRS,Austin Rothermich,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0627+0143_20220123.fits,mnires_J0627+0143_20220123.fits,J062750.26+014326.9,96.9594284,1.724158,20220123,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0640-2352_20181027.fits,mnires_J0640-2352_20181027.fits,J064025.40-235221.5B,100.1058561,-23.8726577,20181027,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0724+4307_20190214.fits,mnires_J0724+4307_20190214.fits,J072418.16+430717.3,111.0756987,43.1214909,20190214,Gemini North,GNIRS,Davy,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0743+3146_20210224.fits,mnires_J0743+3146_20210224.fits,J074346.98+314603.4,115.9457826,31.7676309,20210224,Gemini North,GNIRS,Davy,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0825-0210A_20191028.fits,mnires_J0825-0210A_20191028.fits,J082545.12-021027.0A,126.4380002,-2.1741688,20191028,Gemini North,GNIRS,Sarah,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0825-0210B_20191028.fits,mnires_J0825-0210B_20191028.fits,J082545.12-021027.0B,126.4380002,-2.1741688,20190128,Gemini North,GNIRS,Sarah,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J0931+2325_20220123.fits,mnires_J0931+2325_20220123.fits,J093111.01+232501.2,142.7958947,23.4170218,20220123,Gemini North,GNIRS,Sarah,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1130+3139_20220120.fits,mnires_J1130+3139_20220120.fits,J113010.07+313944.7,172.5419581,31.6624237,20220120,Gemini North,GNIRS,BYW_inprep,BYW_Inprep,
/Users/student/Desktop/Brown Dwarfs/DATA/mnires_J1304+2819_20220711.fits,mnires_J1304+2819_20220711.fits,J130440.45+281927.7,196.1685619,28.3243642,20220711,Gemini North,GNIRS,Adam B.,BYW_Inprep,
